SPREFID,USUBJID,LBTEST,LBTESTCD,LBCAT,LBORRES,LBORRESU,LBMETHOD,LBSPEC,LBDY,trial_set_description,SEX
T103236-5,T103236-5-0043,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,46.5,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0046,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,52.6,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0048,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,54.7,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0041,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,67.3,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0044,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,58.5,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0049,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,59.2,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0050,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,60.2,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0042,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,53.5,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0045,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,73.1,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0047,Alanine Aminotransferase,ALT,CLINICAL CHEMISTRY,61.4,U/l,iBroker:ALAT,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0043,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.34,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0047,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.49,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0046,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.26,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0048,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.3,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0041,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.54,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0044,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.43,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0049,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.92,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0050,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.28,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0042,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.48,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0045,Cholesterol,CHOL,CLINICAL CHEMISTRY,1.38,mmol/l,iBroker:CHOL-r,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0043,Creatine Kinase,CK,CLINICAL CHEMISTRY,544,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0046,Creatine Kinase,CK,CLINICAL CHEMISTRY,583,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0048,Creatine Kinase,CK,CLINICAL CHEMISTRY,367,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0041,Creatine Kinase,CK,CLINICAL CHEMISTRY,581,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0044,Creatine Kinase,CK,CLINICAL CHEMISTRY,501,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0049,Creatine Kinase,CK,CLINICAL CHEMISTRY,514,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0050,Creatine Kinase,CK,CLINICAL CHEMISTRY,661,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0042,Creatine Kinase,CK,CLINICAL CHEMISTRY,460,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0045,Creatine Kinase,CK,CLINICAL CHEMISTRY,324,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0047,Creatine Kinase,CK,CLINICAL CHEMISTRY,493,U/l,iBroker:CK,SERUM,31,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0043,Creatine Kinase,CK,CLINICAL CHEMISTRY,595,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0046,Creatine Kinase,CK,CLINICAL CHEMISTRY,401,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0048,Creatine Kinase,CK,CLINICAL CHEMISTRY,306,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0041,Creatine Kinase,CK,CLINICAL CHEMISTRY,510,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0044,Creatine Kinase,CK,CLINICAL CHEMISTRY,430,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0049,Creatine Kinase,CK,CLINICAL CHEMISTRY,462,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0050,Creatine Kinase,CK,CLINICAL CHEMISTRY,485,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0042,Creatine Kinase,CK,CLINICAL CHEMISTRY,405,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0045,Creatine Kinase,CK,CLINICAL CHEMISTRY,325,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0047,Creatine Kinase,CK,CLINICAL CHEMISTRY,318,U/l,iBroker:CK,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0043,Glutamate Dehydrogenase,GLDH,CLINICAL CHEMISTRY,4.5,U/l,iBroker:GLDH,SERUM,86,Vehicle control:0 mg/kg1,F
T103236-5,T103236-5-0046,Glutamate Dehydrogenase,GLDH,CLINICAL CHEMISTRY,7.6,U/l,iBroker:GLDH,SERUM,86,Vehicle control:0 mg/kg1,F
